Time(s),LateralError_e(m),ControlOutput_u,VehiclePos_y(m),ReferencePos_r(m),P_Term,I_Term,D_Term,SteeringAngle_delta(deg),VehicleGlobalX(m),VehicleGlobalZ(m),TargetGlobalX(m),TargetGlobalZ(m)
242.9399,-0.0052,-0.3078,-0.0052,0.0000,0.0103,-0.0126,-0.3055,2.6634,258.7785,-59.6471,258.9402,-59.5300
242.9599,-0.0097,-0.0025,-0.0097,0.0000,0.0194,-0.0126,-0.0093,-0.0889,258.6136,-59.7602,258.7827,-59.6383
242.9799,-0.0096,0.0010,-0.0096,0.0000,0.0193,-0.0126,-0.0057,0.0343,258.4486,-59.8732,258.6179,-59.7515
242.9999,-0.0105,0.0292,-0.0105,0.0000,0.0210,-0.0126,0.0208,1.0209,258.2835,-59.9861,258.4539,-59.8642
243.0199,-0.0094,-0.0141,-0.0094,0.0000,0.0188,-0.0125,-0.0204,-0.4942,258.1184,-60.0991,258.2881,-59.9779
243.0399,-0.0108,0.0397,-0.0108,0.0000,0.0217,-0.0125,0.0306,1.3909,257.9532,-60.2118,258.1079,-60.1015
243.0599,-0.0048,-0.1589,-0.0048,0.0000,0.0095,-0.0125,-0.1558,-1.6091,257.7882,-60.3248,257.9486,-60.2106
243.0799,-0.0203,0.3915,-0.0203,0.0000,0.0406,-0.0125,0.3634,1.3909,257.6230,-60.4375,257.7697,-60.3331
243.0999,-0.0050,-0.2678,-0.0050,0.0000,0.0099,-0.0125,-0.2653,-1.6091,257.4580,-60.5506,257.6242,-60.4327
243.1199,-0.0192,0.3034,-0.0192,0.0000,0.0383,-0.0124,0.2775,1.3909,257.2929,-60.6634,257.4405,-60.5583
243.1399,-0.0185,0.1298,-0.0185,0.0000,0.0370,-0.0124,0.1051,4.3909,257.1272,-60.7753,257.2759,-60.6707
243.1599,-0.0093,-0.2042,-0.0093,0.0000,0.0186,-0.0124,-0.2104,1.3909,256.9613,-60.8870,257.1183,-60.7783
243.1799,-0.0038,-0.2501,-0.0038,0.0000,0.0077,-0.0124,-0.2454,-1.6091,256.7956,-60.9991,256.9576,-60.8879
243.1999,-0.0162,0.2548,-0.0162,0.0000,0.0323,-0.0123,0.2348,1.3909,256.6297,-61.1108,256.8086,-60.9895
243.2199,0.0168,-0.8591,0.0168,0.0000,-0.0336,-0.0124,-0.8131,-1.6091,256.4641,-61.2229,256.6438,-61.1017
243.2399,0.0156,-0.3707,0.0156,0.0000,-0.0312,-0.0124,-0.3272,-4.6091,256.2990,-61.3358,256.4517,-61.2324
243.2599,0.0075,0.0516,0.0075,0.0000,-0.0151,-0.0124,0.0791,-1.6091,256.1341,-61.4490,256.3054,-61.3318
243.2799,-0.0065,0.4269,-0.0065,0.0000,0.0130,-0.0124,0.4263,1.3909,255.9691,-61.5620,256.1391,-61.4448
243.2999,-0.0182,0.5388,-0.0182,0.0000,0.0364,-0.0124,0.5148,4.3909,255.8035,-61.6741,255.9833,-61.5505
243.3199,-0.0024,-0.2194,-0.0024,0.0000,0.0048,-0.0124,-0.2119,1.3909,255.6377,-61.7860,255.8044,-61.6718
243.3399,-0.0106,0.1432,-0.0106,0.0000,0.0212,-0.0123,0.1343,4.3909,255.4714,-61.8970,255.6459,-61.7792
243.3599,0.0044,-0.3805,0.0044,0.0000,-0.0089,-0.0123,-0.3593,1.3909,255.3049,-62.0078,255.4752,-61.8947
243.3799,0.0058,-0.2199,0.0058,0.0000,-0.0115,-0.0124,-0.1960,-1.6091,255.1386,-62.1189,255.3104,-62.0061
243.3999,0.0159,-0.4125,0.0159,0.0000,-0.0317,-0.0124,-0.3684,-4.6091,254.9728,-62.2309,255.1530,-62.1124
243.4199,0.0065,0.0710,0.0065,0.0000,-0.0131,-0.0124,0.0965,-1.6091,254.8073,-62.3432,254.9792,-62.2296
243.4399,0.0019,0.1546,0.0019,0.0000,-0.0039,-0.0124,0.1709,1.3909,254.6416,-62.4552,254.8085,-62.3447
243.4599,0.0023,0.0474,0.0023,0.0000,-0.0047,-0.0124,0.0645,1.6597,254.4757,-62.5669,254.6439,-62.4555
243.4799,0.0120,-0.2764,0.0120,0.0000,-0.0240,-0.0124,-0.2400,-1.3403,254.3100,-62.6788,254.4864,-62.5614
243.4999,0.0062,0.0295,0.0062,0.0000,-0.0124,-0.0124,0.0544,1.0327,254.1441,-62.7906,254.3054,-62.6830
243.5199,0.0065,-0.0082,0.0065,0.0000,-0.0129,-0.0125,0.0172,-0.2864,253.9783,-62.9024,254.1391,-62.7946
243.5399,-0.0062,0.3603,-0.0062,0.0000,0.0124,-0.0124,0.3604,2.7136,253.8121,-63.0137,253.9834,-62.8989
243.5599,-0.0091,0.2460,-0.0091,0.0000,0.0182,-0.0124,0.2402,5.7136,253.6452,-63.1239,253.8045,-63.0187
243.5799,0.0011,-0.1918,0.0011,0.0000,-0.0022,-0.0124,-0.1772,2.7136,253.4780,-63.2336,253.6460,-63.1246
243.5999,0.0057,-0.2307,0.0057,0.0000,-0.0114,-0.0124,-0.2068,-0.2864,253.3108,-63.3434,253.4753,-63.2386
243.6199,0.0050,-0.0952,0.0050,0.0000,-0.0100,-0.0124,-0.0727,-3.2864,253.1441,-63.4538,253.3107,-63.3484
243.6399,0.0091,-0.1768,0.0091,0.0000,-0.0182,-0.0125,-0.1461,-6.1873,252.9781,-63.5654,253.1532,-63.4534
243.6599,0.0039,0.0592,0.0039,0.0000,-0.0078,-0.0125,0.0795,-3.1873,252.8125,-63.6775,252.9792,-63.5691
243.6799,0.0064,-0.0590,0.0064,0.0000,-0.0128,-0.0125,-0.0337,-2.0660,252.6471,-63.7900,252.8085,-63.6825
243.6999,-0.0037,0.2600,-0.0037,0.0000,0.0073,-0.0125,0.2652,0.9340,252.4816,-63.9024,252.6439,-63.7918
243.7199,-0.0078,0.2355,-0.0078,0.0000,0.0156,-0.0125,0.2324,3.9340,252.3157,-64.0140,252.4863,-63.8962
243.7399,-0.0105,0.1884,-0.0105,0.0000,0.0211,-0.0124,0.1798,6.5945,252.1489,-64.1244,252.3053,-64.0159
243.7599,-0.0100,0.0725,-0.0100,0.0000,0.0200,-0.0124,0.0649,3.5945,251.9817,-64.2341,252.1390,-64.1259
243.7799,-0.0071,-0.0510,-0.0071,0.0000,0.0142,-0.0124,-0.0528,0.5945,251.8144,-64.3437,251.9746,-64.2344
243.7999,-0.0103,0.0743,-0.0103,0.0000,0.0206,-0.0124,0.0661,2.5997,251.6468,-64.4528,251.8045,-64.3465
243.8199,-0.0022,-0.2038,-0.0022,0.0000,0.0044,-0.0124,-0.1959,-0.4003,251.4792,-64.5620,251.6460,-64.4508
243.8399,-0.0041,-0.0387,-0.0041,0.0000,0.0082,-0.0124,-0.0345,-1.3560,251.3118,-64.6715,251.4753,-64.5629
243.8599,-0.0013,-0.1026,-0.0013,0.0000,0.0026,-0.0124,-0.0928,-3.5901,251.1449,-64.7816,251.3107,-64.6709
243.8799,-0.0111,0.2407,-0.0111,0.0000,0.0221,-0.0123,0.2309,-0.5901,250.9780,-64.8918,251.1531,-64.7742
243.8999,-0.0042,-0.0929,-0.0042,0.0000,0.0084,-0.0123,-0.0889,-3.2498,250.8115,-65.0027,250.9793,-64.8878
243.9199,-0.0044,-0.0368,-0.0044,0.0000,0.0088,-0.0123,-0.0333,-1.2878,250.6452,-65.1137,250.8086,-64.9993
243.9399,-0.0072,0.0637,-0.0072,0.0000,0.0143,-0.0123,0.0617,1.7122,250.4787,-65.2245,250.6440,-65.1067
243.9599,-0.0171,0.3268,-0.0171,0.0000,0.0343,-0.0123,0.3048,4.7122,250.3116,-65.3344,250.4865,-65.2092
243.9799,-0.0096,-0.0664,-0.0096,0.0000,0.0193,-0.0123,-0.0734,1.7122,250.1442,-65.4439,250.3055,-65.3269
243.9999,-0.0104,-0.0025,-0.0104,0.0000,0.0208,-0.0122,-0.0111,-0.0879,249.9769,-65.5535,250.1392,-65.4348
244.0199,-0.0188,0.2550,-0.0188,0.0000,0.0377,-0.0122,0.2296,2.9121,249.8093,-65.6625,249.9833,-65.5358
244.0399,-0.0120,-0.0755,-0.0120,0.0000,0.0241,-0.0122,-0.0874,-0.0879,249.6416,-65.7716,249.8044,-65.6515
244.0599,-0.0178,0.1454,-0.0178,0.0000,0.0356,-0.0121,0.1219,2.9121,249.4736,-65.8801,249.6242,-65.7679
244.0799,-0.0163,0.0315,-0.0163,0.0000,0.0325,-0.0121,0.0111,1.1023,249.3054,-65.9884,249.4752,-65.8639
244.0999,-0.0193,0.1146,-0.0193,0.0000,0.0385,-0.0121,0.0882,4.0117,249.1368,-66.0959,249.3106,-65.9698
244.1199,-0.0186,0.0472,-0.0186,0.0000,0.0373,-0.0120,0.0220,1.6526,248.9680,-66.2031,249.1183,-66.0933
244.1399,-0.0124,-0.1503,-0.0124,0.0000,0.0249,-0.0120,-0.1631,-1.3474,248.7993,-66.3106,248.9576,-66.1964
244.1599,-0.0211,0.1979,-0.0211,0.0000,0.0421,-0.0120,0.1677,1.6526,248.6304,-66.4178,248.8086,-66.2917
244.1799,-0.0212,0.1087,-0.0212,0.0000,0.0424,-0.0119,0.0782,3.8046,248.4611,-66.5242,248.6093,-66.4190
244.1999,-0.0106,-0.2524,-0.0106,0.0000,0.0211,-0.0119,-0.2616,0.8046,248.2917,-66.6305,248.4517,-66.5194
244.2199,-0.0078,-0.1880,-0.0078,0.0000,0.0157,-0.0119,-0.1918,-2.1954,248.1226,-66.7372,248.2881,-66.6236
244.2399,-0.0147,0.1251,-0.0147,0.0000,0.0295,-0.0119,0.1075,0.8046,247.9533,-66.8438,248.1078,-66.7380
244.2599,-0.0067,-0.1747,-0.0067,0.0000,0.0134,-0.0118,-0.1763,-2.1954,247.7843,-66.9508,247.9488,-66.8389
244.2799,-0.0147,0.1629,-0.0147,0.0000,0.0295,-0.0118,0.1453,0.8046,247.6152,-67.0576,247.7697,-66.9521
244.2999,-0.0088,-0.0935,-0.0088,0.0000,0.0177,-0.0118,-0.0994,-2.1954,247.4464,-67.1648,247.6068,-67.0550
244.3199,-0.0109,0.0246,-0.0109,0.0000,0.0219,-0.0118,0.0145,0.8046,247.2775,-67.2719,247.4492,-67.1542
244.3399,-0.0159,0.1629,-0.0159,0.0000,0.0317,-0.0117,0.1429,3.8046,247.1081,-67.3783,247.2846,-67.2577
244.3599,-0.0213,0.2472,-0.0213,0.0000,0.0427,-0.0117,0.2162,6.8046,246.9379,-67.4833,247.1204,-67.3608
244.3799,-0.0099,-0.2144,-0.0099,0.0000,0.0198,-0.0117,-0.2225,3.8046,246.7673,-67.5877,246.9402,-67.4737
244.3999,-0.0204,0.2215,-0.0204,0.0000,0.0407,-0.0116,0.1925,6.8046,246.5959,-67.6907,246.7479,-67.5938
244.4199,-0.0138,-0.0803,-0.0138,0.0000,0.0277,-0.0116,-0.0963,3.8046,246.4240,-67.7930,246.5833,-67.6964
244.4399,0.0074,-0.6617,0.0074,0.0000,-0.0149,-0.0116,-0.6352,0.8046,246.2521,-67.8952,246.4191,-67.7985
244.4599,0.0095,-0.3699,0.0095,0.0000,-0.0190,-0.0117,-0.3392,-2.1954,246.0804,-67.9977,246.2489,-67.9041
244.4799,0.0110,-0.2258,0.0110,0.0000,-0.0220,-0.0117,-0.1921,-5.1954,245.9093,-68.1013,246.0904,-68.0023
244.4999,0.0128,-0.1734,0.0128,0.0000,-0.0257,-0.0117,-0.1360,-6.0682,245.7389,-68.2060,245.9094,-68.1141
244.5199,0.0135,-0.1162,0.0135,0.0000,-0.0269,-0.0117,-0.0775,-4.0666,245.5690,-68.3115,245.7511,-68.2117
244.5399,0.0128,-0.0524,0.0128,0.0000,-0.0255,-0.0118,-0.0151,-1.8341,245.3993,-68.4174,245.5808,-68.3165
244.5599,0.0174,-0.1830,0.0174,0.0000,-0.0349,-0.0118,-0.1364,-4.8341,245.2302,-68.5242,245.4167,-68.4172
244.5799,0.0199,-0.1814,0.0199,0.0000,-0.0398,-0.0118,-0.1298,-6.3503,245.0619,-68.6321,245.2173,-68.5393
244.5999,0.0040,0.3662,0.0040,0.0000,-0.0080,-0.0118,0.3860,-3.3503,244.8939,-68.7407,245.0597,-68.6355
244.6199,-0.0152,0.7226,-0.0152,0.0000,0.0303,-0.0118,0.7041,-0.3503,244.7260,-68.8494,244.8795,-68.7453
244.6399,-0.0115,0.2213,-0.0115,0.0000,0.0230,-0.0118,0.2101,2.6497,244.5578,-68.9576,244.7154,-68.8449
244.6599,-0.0181,0.3024,-0.0181,0.0000,0.0363,-0.0117,0.2779,5.6497,244.3889,-69.0647,244.5594,-68.9395
244.6799,-0.0193,0.1822,-0.0193,0.0000,0.0386,-0.0117,0.1553,6.3769,244.2192,-69.1706,244.3757,-69.0506
244.6999,-0.0263,0.3051,-0.0263,0.0000,0.0526,-0.0117,0.2641,9.3769,244.0484,-69.2747,244.1955,-69.1593
244.7199,-0.0288,0.2327,-0.0288,0.0000,0.0576,-0.0116,0.1867,8.1459,243.8767,-69.3772,244.0513,-69.2460
244.7399,-0.0232,-0.0385,-0.0232,0.0000,0.0464,-0.0115,-0.0734,5.1459,243.7044,-69.4787,243.8609,-69.3602
244.7599,-0.0214,-0.0518,-0.0214,0.0000,0.0428,-0.0115,-0.0831,2.1459,243.5319,-69.5798,243.6946,-69.4597
244.7799,-0.0218,0.0072,-0.0218,0.0000,0.0436,-0.0115,-0.0249,0.2531,243.3593,-69.6809,243.5138,-69.5676
244.7999,-0.0198,-0.0398,-0.0198,0.0000,0.0395,-0.0114,-0.0679,-1.3929,243.1869,-69.7823,243.3562,-69.6614
244.8199,-0.0175,-0.0684,-0.0175,0.0000,0.0351,-0.0114,-0.0921,-2.3957,243.0147,-69.8841,243.1790,-69.7666
244.8399,-0.0176,-0.0139,-0.0176,0.0000,0.0353,-0.0114,-0.0378,-0.4857,242.8426,-69.9860,243.0034,-69.8705
244.8599,-0.0229,0.1652,-0.0229,0.0000,0.0459,-0.0113,0.1306,2.5143,242.6702,-70.0874,242.8210,-69.9781
244.8799,-0.0177,-0.0651,-0.0177,0.0000,0.0353,-0.0113,-0.0891,-0.4857,242.4979,-70.1889,242.6612,-70.0722
244.8999,-0.0222,0.1206,-0.0222,0.0000,0.0444,-0.0112,0.0874,2.5143,242.3253,-70.2899,242.4775,-70.1800
244.9199,-0.0220,0.0653,-0.0220,0.0000,0.0440,-0.0112,0.0325,2.2849,242.1524,-70.3905,242.3053,-70.2807
244.9399,-0.0185,-0.0568,-0.0185,0.0000,0.0370,-0.0111,-0.0827,-0.7151,241.9796,-70.4912,242.1390,-70.3778
244.9599,-0.0233,0.1334,-0.0233,0.0000,0.0467,-0.0111,0.0979,2.2849,241.8066,-70.5915,241.9835,-70.4682
244.9799,-0.0195,-0.0349,-0.0195,0.0000,0.0390,-0.0111,-0.0629,-0.7151,241.6336,-70.6919,241.8044,-70.5721
244.9999,-0.0182,-0.0383,-0.0182,0.0000,0.0365,-0.0110,-0.0637,-1.3408,241.4608,-70.7925,241.6242,-70.6763
245.0199,-0.0228,0.1338,-0.0228,0.0000,0.0456,-0.0110,0.0991,1.6592,241.2878,-70.8929,241.4405,-70.7821
245.0399,-0.0215,0.0382,-0.0215,0.0000,0.0429,-0.0109,0.0063,1.3385,241.1146,-70.9930,241.2847,-70.8717
245.0599,-0.0278,0.2255,-0.0278,0.0000,0.0557,-0.0109,0.1807,4.3385,240.9410,-71.0922,241.1205,-70.9657
245.0799,-0.0236,-0.0030,-0.0236,0.0000,0.0471,-0.0108,-0.0393,1.3385,240.7672,-71.1912,240.9402,-71.0687
245.0999,-0.0233,0.0116,-0.0233,0.0000,0.0466,-0.0108,-0.0243,0.4050,240.5934,-71.2901,240.7480,-71.1781
245.1199,-0.0214,-0.0326,-0.0214,0.0000,0.0428,-0.0107,-0.0646,-1.1405,240.4197,-71.3893,240.5854,-71.2703
245.1399,-0.0284,0.2141,-0.0284,0.0000,0.0569,-0.0107,0.1679,1.8595,240.2458,-71.4880,240.3932,-71.3790
245.1599,-0.0280,0.1072,-0.0280,0.0000,0.0560,-0.0106,0.0619,3.7526,240.0715,-71.5861,240.2490,-71.4602
245.1799,-0.0248,-0.0236,-0.0248,0.0000,0.0495,-0.0106,-0.0625,0.7526,239.8971,-71.6840,240.0687,-71.5615
245.1999,-0.0242,-0.0053,-0.0242,0.0000,0.0484,-0.0105,-0.0432,-0.1855,239.7227,-71.7819,239.8923,-71.6603
245.2199,-0.0236,0.0020,-0.0236,0.0000,0.0473,-0.0105,-0.0348,0.0704,239.5483,-71.8798,239.7121,-71.7608
245.2399,-0.0281,0.1534,-0.0281,0.0000,0.0561,-0.0104,0.1077,3.0704,239.3736,-71.9771,239.5484,-71.8518
245.2599,-0.0257,0.0227,-0.0257,0.0000,0.0514,-0.0104,-0.0183,0.7951,239.1988,-72.0743,239.3562,-71.9583
245.2799,-0.0262,0.0470,-0.0262,0.0000,0.0523,-0.0103,0.0050,1.6462,239.0238,-72.1711,239.1914,-72.0492
245.2999,-0.0276,0.0876,-0.0276,0.0000,0.0552,-0.0103,0.0426,3.0657,238.8484,-72.2674,239.0033,-72.1526
245.3199,-0.0312,0.1696,-0.0312,0.0000,0.0623,-0.0102,0.1175,5.9352,238.6725,-72.3625,238.8211,-72.2524
245.3399,-0.0254,-0.0673,-0.0254,0.0000,0.0508,-0.0102,-0.1080,2.9352,238.4962,-72.4570,238.6613,-72.3396
245.3599,-0.0255,-0.0049,-0.0255,0.0000,0.0510,-0.0101,-0.0457,-0.0648,238.3199,-72.5515,238.4776,-72.4395
245.3799,-0.0236,-0.0342,-0.0236,0.0000,0.0473,-0.0101,-0.0715,-1.1979,238.1438,-72.6462,238.3054,-72.5328
245.3999,-0.0241,0.0186,-0.0241,0.0000,0.0482,-0.0100,-0.0196,0.6499,237.9676,-72.7408,238.1391,-72.6226
245.4199,-0.0247,0.0470,-0.0247,0.0000,0.0493,-0.0100,0.0077,1.6462,237.7912,-72.8351,237.9487,-72.7249
245.4399,-0.0259,0.0796,-0.0259,0.0000,0.0518,-0.0099,0.0377,2.7848,237.6146,-72.9288,237.7696,-72.8208
245.4599,-0.0225,-0.0414,-0.0225,0.0000,0.0451,-0.0099,-0.0766,-0.2152,237.4379,-73.0226,237.6067,-72.9077
245.4799,-0.0266,0.1217,-0.0266,0.0000,0.0532,-0.0098,0.0783,2.7848,237.2610,-73.1159,237.4147,-73.0097
245.4999,-0.0220,-0.0593,-0.0220,0.0000,0.0439,-0.0098,-0.0935,-0.2152,237.0841,-73.2091,237.2520,-73.0958
245.5199,-0.0270,0.1436,-0.0270,0.0000,0.0541,-0.0097,0.0993,2.7848,236.9069,-73.3019,237.0599,-73.1970
245.5399,-0.0291,0.1499,-0.0291,0.0000,0.0582,-0.0097,0.1014,5.2477,236.7291,-73.3935,236.8797,-73.2916
245.5599,-0.0213,-0.1383,-0.0213,0.0000,0.0426,-0.0096,-0.1713,2.2477,236.5511,-73.4848,236.7242,-73.3728
245.5799,-0.0275,0.1409,-0.0275,0.0000,0.0550,-0.0096,0.0955,4.9315,236.3727,-73.5750,236.5594,-73.4586
245.5999,-0.0212,-0.1004,-0.0212,0.0000,0.0423,-0.0095,-0.1332,1.9315,236.1940,-73.6649,236.3540,-73.5650
245.6199,-0.0182,-0.1153,-0.0182,0.0000,0.0364,-0.0095,-0.1422,-1.0685,236.0154,-73.7550,236.1783,-73.6556
245.6399,-0.0230,0.1084,-0.0230,0.0000,0.0461,-0.0094,0.0718,1.9315,235.8366,-73.8447,236.0254,-73.7342
245.6599,-0.0162,-0.1339,-0.0162,0.0000,0.0325,-0.0094,-0.1570,-1.0685,235.6580,-73.9346,235.8217,-73.8384
245.6799,-0.0138,-0.1199,-0.0138,0.0000,0.0276,-0.0094,-0.1381,-4.0685,235.4798,-74.0253,235.6460,-73.9278
245.6999,-0.0119,-0.1006,-0.0119,0.0000,0.0237,-0.0093,-0.1150,-3.5216,235.3019,-74.1167,235.4751,-74.0144
245.7199,-0.0211,0.2396,-0.0211,0.0000,0.0422,-0.0093,0.2067,-0.5216,235.1240,-74.2082,235.3105,-74.0974
245.7399,-0.0157,-0.0359,-0.0157,0.0000,0.0315,-0.0093,-0.0581,-1.2580,234.9463,-74.3000,235.1203,-74.1930
245.7599,-0.0181,0.0669,-0.0181,0.0000,0.0362,-0.0092,0.0400,1.7420,234.7685,-74.3914,234.9401,-74.2830
245.7799,-0.0242,0.2266,-0.0242,0.0000,0.0484,-0.0092,0.1874,4.7420,234.5901,-74.4819,234.7480,-74.3785
245.7999,-0.0233,0.0971,-0.0233,0.0000,0.0467,-0.0091,0.0596,3.3997,234.4114,-74.5717,234.5853,-74.4591
245.8199,-0.0256,0.1313,-0.0256,0.0000,0.0512,-0.0091,0.0892,4.5963,234.2322,-74.6606,234.3932,-74.5537
245.8399,-0.0272,0.1284,-0.0272,0.0000,0.0543,-0.0090,0.0831,4.4951,234.0526,-74.7486,234.2303,-74.6335
245.8599,-0.0277,0.0993,-0.0277,0.0000,0.0555,-0.0090,0.0528,3.4739,233.8727,-74.8359,234.0512,-74.7209
245.8799,-0.0255,0.0027,-0.0255,0.0000,0.0510,-0.0089,-0.0393,0.4739,233.6927,-74.9231,233.8609,-74.8133
245.8999,-0.0295,0.1460,-0.0295,0.0000,0.0591,-0.0089,0.0958,3.4739,233.5123,-75.0095,233.6946,-74.8936
245.9199,-0.0298,0.0994,-0.0298,0.0000,0.0595,-0.0088,0.0487,3.4784,233.3317,-75.0953,233.4876,-74.9930
245.9399,-0.0263,-0.0309,-0.0263,0.0000,0.0526,-0.0088,-0.0748,0.4784,233.1510,-75.1810,233.3278,-75.0693
245.9599,-0.0286,0.0799,-0.0286,0.0000,0.0573,-0.0087,0.0314,2.7968,232.9700,-75.2661,233.1529,-75.1525
245.9799,-0.0247,-0.0542,-0.0247,0.0000,0.0494,-0.0087,-0.0950,-0.2032,232.7890,-75.3513,232.9574,-75.2449
245.9999,-0.0252,0.0133,-0.0252,0.0000,0.0504,-0.0086,-0.0286,0.4638,232.6080,-75.4364,232.7739,-75.3311
246.0199,-0.0296,0.1606,-0.0296,0.0000,0.0592,-0.0085,0.1099,3.4638,232.4267,-75.5207,232.5832,-75.4203
246.0399,-0.0283,0.0603,-0.0283,0.0000,0.0566,-0.0085,0.0122,2.1088,232.2451,-75.6047,232.4279,-75.4925
246.0599,-0.0296,0.0923,-0.0296,0.0000,0.0592,-0.0084,0.0416,3.2316,232.0633,-75.6880,232.2488,-75.5753
246.0799,-0.0249,-0.0699,-0.0249,0.0000,0.0499,-0.0084,-0.1114,0.2316,231.8815,-75.7712,232.0512,-75.6662
246.0999,-0.0273,0.0631,-0.0273,0.0000,0.0546,-0.0083,0.0168,2.2089,231.6994,-75.8540,231.8610,-75.7531
246.1199,-0.0258,0.0084,-0.0258,0.0000,0.0516,-0.0083,-0.0349,0.2939,231.5173,-75.9367,231.6947,-75.8286
246.1399,-0.0307,0.1745,-0.0307,0.0000,0.0614,-0.0082,0.1213,3.2939,231.3349,-76.0188,231.5225,-75.9064
246.1599,-0.0259,-0.0365,-0.0259,0.0000,0.0518,-0.0082,-0.0802,0.2939,231.1525,-76.1008,231.3279,-75.9938
246.1799,-0.0289,0.0966,-0.0289,0.0000,0.0577,-0.0081,0.0470,3.2939,230.9698,-76.1821,231.1530,-76.0719
246.1999,-0.0265,-0.0008,-0.0265,0.0000,0.0529,-0.0080,-0.0456,0.2939,230.7870,-76.2633,230.9573,-76.1587
246.2199,-0.0280,0.0693,-0.0280,0.0000,0.0559,-0.0080,0.0214,2.4271,230.6041,-76.3441,230.7826,-76.2357
246.2399,-0.0297,0.1082,-0.0297,0.0000,0.0593,-0.0079,0.0568,3.7873,230.4208,-76.4241,230.5831,-76.3231
246.2599,-0.0332,0.1809,-0.0332,0.0000,0.0663,-0.0079,0.1224,6.3308,230.2369,-76.5028,230.3931,-76.4058
246.2799,-0.0301,0.0220,-0.0301,0.0000,0.0602,-0.0078,-0.0304,3.3308,230.0527,-76.5808,230.2141,-76.4832
246.2999,-0.0277,-0.0327,-0.0277,0.0000,0.0554,-0.0078,-0.0804,0.3308,229.8685,-76.6587,230.0511,-76.5531
246.3199,-0.0256,-0.0515,-0.0256,0.0000,0.0512,-0.0077,-0.0950,-1.8038,229.6845,-76.7370,229.8610,-76.6343
246.3399,-0.0284,0.0860,-0.0284,0.0000,0.0568,-0.0076,0.0368,1.1962,229.5004,-76.8151,229.6634,-76.7180
246.3599,-0.0264,0.0041,-0.0264,0.0000,0.0527,-0.0076,-0.0410,0.1424,229.3162,-76.8931,229.4877,-76.7920
246.3799,-0.0277,0.0661,-0.0277,0.0000,0.0553,-0.0075,0.0183,2.3125,229.1319,-76.9707,229.3105,-76.8660
246.3999,-0.0283,0.0742,-0.0283,0.0000,0.0565,-0.0075,0.0251,2.5958,228.9473,-77.0477,229.1183,-76.9459
246.4199,-0.0293,0.0910,-0.0293,0.0000,0.0586,-0.0074,0.0398,3.1862,228.7625,-77.1241,228.9403,-77.0192
246.4399,-0.0299,0.0853,-0.0299,0.0000,0.0597,-0.0074,0.0329,2.9840,228.5773,-77.1998,228.7480,-77.0979
246.4599,-0.0343,0.2000,-0.0343,0.0000,0.0686,-0.0073,0.1386,5.9840,228.3917,-77.2743,228.5508,-77.1780
246.4799,-0.0302,0.0009,-0.0302,0.0000,0.0604,-0.0072,-0.0523,2.9840,228.2059,-77.3482,228.3759,-77.2485
246.4999,-0.0293,0.0035,-0.0293,0.0000,0.0587,-0.0072,-0.0480,0.1224,228.0200,-77.4220,228.1957,-77.3207
246.5199,-0.0341,0.1725,-0.0341,0.0000,0.0682,-0.0071,0.1115,3.1224,227.8339,-77.4952,228.0254,-77.3884
246.5399,-0.0292,-0.0348,-0.0292,0.0000,0.0585,-0.0070,-0.0862,0.1224,227.6478,-77.5684,227.8217,-77.4687
246.5599,-0.0310,0.0676,-0.0310,0.0000,0.0621,-0.0070,0.0125,2.3667,227.4614,-77.6411,227.6460,-77.5374
246.5799,-0.0318,0.0826,-0.0318,0.0000,0.0636,-0.0069,0.0259,2.8894,227.2749,-77.7132,227.4406,-77.6171
246.5999,-0.0338,0.1282,-0.0338,0.0000,0.0676,-0.0069,0.0675,4.4876,227.0880,-77.7843,227.2498,-77.6905
246.6199,-0.0351,0.1310,-0.0351,0.0000,0.0703,-0.0068,0.0675,4.5851,226.9007,-77.8545,227.0946,-77.7498
246.6399,-0.0314,-0.0179,-0.0314,0.0000,0.0628,-0.0067,-0.0740,1.5851,226.7133,-77.9244,226.8796,-77.8312
246.6599,-0.0323,0.0492,-0.0323,0.0000,0.0646,-0.0067,-0.0087,1.7235,226.5257,-77.9939,226.6895,-77.9026
246.6799,-0.0287,-0.0531,-0.0287,0.0000,0.0574,-0.0066,-0.1039,-1.2765,226.3383,-78.0636,226.5123,-77.9686
246.6999,-0.0303,0.0541,-0.0303,0.0000,0.0607,-0.0065,-0.0001,1.7235,226.1507,-78.1330,226.3368,-78.0333
246.7199,-0.0297,0.0354,-0.0297,0.0000,0.0594,-0.0065,-0.0175,1.2391,225.9631,-78.2022,226.1392,-78.1057
246.7399,-0.0310,0.0831,-0.0310,0.0000,0.0619,-0.0064,0.0275,2.9074,225.7752,-78.2707,225.9486,-78.1748
246.7599,-0.0347,0.1795,-0.0347,0.0000,0.0694,-0.0063,0.1164,5.9074,225.5868,-78.3380,225.7510,-78.2458
246.7799,-0.0322,0.0400,-0.0322,0.0000,0.0644,-0.0063,-0.0182,2.9074,225.3983,-78.4047,225.5809,-78.3063
246.7999,-0.0325,0.0591,-0.0325,0.0000,0.0650,-0.0062,0.0003,2.0683,225.2095,-78.4709,225.3820,-78.3766
246.8199,-0.0332,0.0789,-0.0332,0.0000,0.0664,-0.0062,0.0187,2.7609,225.0206,-78.5366,225.1914,-78.4431
