Time(s),LateralError(m),ControlOutput(u),VehiclePosX(m),ReferencePosX(m),VehicleGlobalX,VehicleGlobalZ,TargetGlobalX,TargetGlobalZ
235.7799,0.0473,-0.1138,0.0473,0.0000,322.3985,-30.0249,322.5833,-30.0821
235.7999,0.0459,-0.0565,0.0459,0.0000,322.1989,-30.0133,322.3932,-30.0706
235.8199,0.0463,-0.0827,0.0463,0.0000,321.9992,-30.0024,322.1956,-30.0595
235.8399,0.0486,-0.1503,0.0486,0.0000,321.7994,-29.9930,322.0094,-30.0499
235.8599,0.0475,-0.0850,0.0475,0.0000,321.5996,-29.9845,321.8044,-30.0403
235.8799,0.0481,-0.1022,0.0481,0.0000,321.3997,-29.9769,321.6068,-30.0320
235.8999,0.0500,-0.1527,0.0500,0.0000,321.1998,-29.9708,321.3821,-30.0237
235.9199,0.0476,-0.0457,0.0476,0.0000,320.9999,-29.9654,321.1913,-30.0176
235.9399,0.0470,-0.0537,0.0470,0.0000,320.7999,-29.9605,320.9968,-30.0124
235.9599,0.0484,-0.1118,0.0484,0.0000,320.6000,-29.9567,320.8085,-30.0081
235.9799,0.0504,-0.1584,0.0504,0.0000,320.4000,-29.9545,320.5833,-30.0042
235.9999,0.0479,-0.0497,0.0479,0.0000,320.2000,-29.9530,320.3931,-30.0019
236.0199,0.0477,-0.0645,0.0477,0.0000,320.0000,-29.9521,320.1957,-30.0005
236.0399,0.0488,-0.1112,0.0488,0.0000,319.8000,-29.9522,320.0093,-30.0000
236.0599,0.0484,-0.0872,0.0484,0.0000,319.6000,-29.9533,319.8043,-30.0005
236.0799,0.0491,-0.1087,0.0491,0.0000,319.4000,-29.9554,319.6067,-30.0019
236.0999,0.0516,-0.1745,0.0516,0.0000,319.2000,-29.9592,319.4167,-30.0042
236.1199,0.0497,-0.0731,0.0497,0.0000,319.0001,-29.9639,319.1913,-30.0081
236.1399,0.0486,-0.0495,0.0486,0.0000,318.8002,-29.9691,319.0032,-30.0123
236.1599,0.0493,-0.0933,0.0493,0.0000,318.6003,-29.9752,318.8085,-30.0176
236.1799,0.0516,-0.1638,0.0516,0.0000,318.4004,-29.9828,318.6179,-30.0237
236.1999,0.0496,-0.0665,0.0496,0.0000,318.2006,-29.9913,318.3932,-30.0320
236.2199,0.0492,-0.0684,0.0492,0.0000,318.0008,-30.0004,318.1956,-30.0403
236.2399,0.0505,-0.1196,0.0505,0.0000,317.8010,-30.0107,317.9906,-30.0499
236.2599,0.0489,-0.0579,0.0489,0.0000,317.6013,-30.0216,317.8044,-30.0595
236.2799,0.0493,-0.0897,0.0493,0.0000,317.4017,-30.0333,317.6068,-30.0706
236.2999,0.0511,-0.1456,0.0511,0.0000,317.2021,-30.0464,317.4169,-30.0821
