Time(s),LateralError_e(m),ControlOutput_u,VehiclePos_y(m),ReferencePos_r(m),P_Term,I_Term,D_Term,SteeringAngle_delta(deg),VehicleGlobalX(m),VehicleGlobalZ(m),TargetGlobalX(m),TargetGlobalZ(m)
233.5999,0.0309,-0.2351,0.0309,0.0000,-0.0617,0.0161,-0.1896,-4.9285,343.2888,-35.8036,343.4753,-35.9183
233.6199,0.0270,-0.0144,0.0270,0.0000,-0.0540,0.0161,0.0235,-1.9285,343.1071,-35.7199,343.2845,-35.8303
233.6399,0.0288,-0.0806,0.0288,0.0000,-0.0576,0.0160,-0.0391,-2.8227,342.9252,-35.6368,343.0858,-35.7391
233.6599,0.0282,-0.0406,0.0282,0.0000,-0.0563,0.0160,-0.0002,-1.4195,342.7431,-35.5541,342.9055,-35.6570
233.6799,0.0323,-0.1654,0.0323,0.0000,-0.0647,0.0159,-0.1166,-4.4195,342.5605,-35.4725,342.7154,-35.5708
233.6999,0.0281,0.0276,0.0281,0.0000,-0.0561,0.0159,0.0679,-1.4195,342.3777,-35.3913,342.5595,-35.5006
233.7199,0.0270,0.0210,0.0270,0.0000,-0.0540,0.0158,0.0592,0.7354,342.1950,-35.3099,342.3759,-35.4183
233.7399,0.0264,0.0072,0.0264,0.0000,-0.0527,0.0158,0.0442,0.2519,342.0124,-35.2285,342.1783,-35.3303
233.7599,0.0287,-0.0870,0.0287,0.0000,-0.0574,0.0157,-0.0453,-2.7481,341.8294,-35.1477,341.9908,-35.2473
233.7799,0.0265,0.0049,0.0265,0.0000,-0.0529,0.0156,0.0422,0.1728,341.6465,-35.0669,341.8218,-35.1730
233.7999,0.0293,-0.1030,0.0293,0.0000,-0.0586,0.0156,-0.0601,-2.8271,341.4632,-34.9868,341.6459,-35.0962
233.8199,0.0304,-0.1022,0.0304,0.0000,-0.0608,0.0155,-0.0570,-3.5772,341.2795,-34.9076,341.4405,-35.0070
233.8399,0.0324,-0.1314,0.0324,0.0000,-0.0648,0.0155,-0.0820,-4.5981,341.0954,-34.8297,341.2845,-34.9397
233.8599,0.0286,0.0284,0.0286,0.0000,-0.0572,0.0154,0.0702,-1.5981,340.9110,-34.7521,341.0945,-34.8582
233.8799,0.0296,-0.0400,0.0296,0.0000,-0.0591,0.0153,0.0038,-1.3997,340.7265,-34.6749,340.9143,-34.7815
233.8999,0.0263,0.0562,0.0263,0.0000,-0.0525,0.0153,0.0935,1.6003,340.5422,-34.5973,340.7241,-34.7011
233.9199,0.0266,-0.0048,0.0266,0.0000,-0.0531,0.0152,0.0331,-0.1665,340.3578,-34.5197,340.5248,-34.6174
233.9399,0.0268,-0.0289,0.0268,0.0000,-0.0535,0.0152,0.0095,-1.0109,340.1734,-34.4424,340.3541,-34.5462
233.9599,0.0277,-0.0634,0.0277,0.0000,-0.0555,0.0151,-0.0230,-2.2187,339.9887,-34.3656,340.1565,-34.4644
233.9799,0.0281,-0.0603,0.0281,0.0000,-0.0561,0.0151,-0.0193,-2.1111,339.8038,-34.2894,339.9833,-34.3932
233.9999,0.0307,-0.1281,0.0307,0.0000,-0.0614,0.0150,-0.0817,-4.4842,339.6184,-34.2144,339.8044,-34.3201
234.0199,0.0282,-0.0069,0.0282,0.0000,-0.0563,0.0150,0.0345,-1.4842,339.4329,-34.1397,339.6068,-34.2400
234.0399,0.0294,-0.0636,0.0294,0.0000,-0.0588,0.0149,-0.0197,-2.2264,339.2471,-34.0657,339.4145,-34.1627
234.0599,0.0326,-0.1468,0.0326,0.0000,-0.0651,0.0148,-0.0965,-5.1388,339.0608,-33.9929,339.2520,-34.0978
234.0799,0.0286,0.0256,0.0286,0.0000,-0.0572,0.0148,0.0680,-2.1388,338.8743,-33.9207,339.0424,-34.0148
234.0999,0.0317,-0.1054,0.0317,0.0000,-0.0634,0.0147,-0.0567,-3.6874,338.6874,-33.8495,338.8816,-33.9516
234.1199,0.0254,0.1139,0.0254,0.0000,-0.0508,0.0147,0.1500,-0.6874,338.5004,-33.7785,338.6722,-33.8699
234.1399,0.0279,-0.0455,0.0279,0.0000,-0.0559,0.0146,-0.0042,-1.5940,338.3133,-33.7078,338.4776,-33.7946
234.1599,0.0222,0.1291,0.0222,0.0000,-0.0443,0.0146,0.1589,1.4060,338.1263,-33.6369,338.3054,-33.7286
234.1799,0.0248,-0.0386,0.0248,0.0000,-0.0497,0.0145,-0.0034,-1.3498,337.9392,-33.5662,338.1078,-33.6534
234.1999,0.0220,0.0477,0.0220,0.0000,-0.0440,0.0145,0.0772,1.6502,337.7523,-33.4952,337.9314,-33.5868
234.2199,0.0242,-0.0597,0.0242,0.0000,-0.0483,0.0144,-0.0258,-1.3498,337.5652,-33.4244,337.7511,-33.5193
234.2399,0.0267,-0.1213,0.0267,0.0000,-0.0534,0.0144,-0.0823,-4.2453,337.3777,-33.3548,337.5463,-33.4432
234.2599,0.0284,-0.1274,0.0284,0.0000,-0.0569,0.0143,-0.0848,-4.4577,337.1898,-33.2864,337.3561,-33.3733
234.2799,0.0248,0.0276,0.0248,0.0000,-0.0496,0.0143,0.0630,-1.4577,337.0017,-33.2183,337.1789,-33.3087
234.2999,0.0250,-0.0124,0.0250,0.0000,-0.0500,0.0142,0.0233,-0.4349,336.8136,-33.1504,336.9966,-33.2428
234.3199,0.0255,-0.0415,0.0255,0.0000,-0.0510,0.0142,-0.0046,-1.4510,336.6254,-33.0829,336.8085,-33.1754
234.3399,0.0272,-0.0879,0.0272,0.0000,-0.0543,0.0141,-0.0477,-3.0779,336.4368,-33.0161,336.6092,-33.1047
234.3599,0.0281,-0.0889,0.0281,0.0000,-0.0562,0.0140,-0.0467,-3.1101,336.2480,-32.9502,336.4190,-33.0378
234.3799,0.0283,-0.0703,0.0283,0.0000,-0.0567,0.0140,-0.0277,-2.4617,336.0590,-32.8849,336.2487,-32.9785
234.3999,0.0266,-0.0035,0.0266,0.0000,-0.0532,0.0139,0.0358,-0.1235,335.8699,-32.8197,336.0513,-32.9104
234.4199,0.0272,-0.0415,0.0272,0.0000,-0.0544,0.0139,-0.0010,-1.4542,335.6807,-32.7548,335.8609,-32.8454
234.4399,0.0294,-0.1070,0.0294,0.0000,-0.0588,0.0138,-0.0620,-3.7453,335.4912,-32.6909,335.6633,-32.7785
234.4599,0.0290,-0.0599,0.0290,0.0000,-0.0580,0.0138,-0.0156,-2.0954,335.3015,-32.6276,335.4877,-32.7197
234.4799,0.0337,-0.1910,0.0337,0.0000,-0.0674,0.0137,-0.1374,-5.0954,335.1113,-32.5657,335.2759,-32.6496
234.4999,0.0335,-0.1077,0.0335,0.0000,-0.0669,0.0136,-0.0544,-3.7684,334.9208,-32.5047,335.0858,-32.5873
234.5199,0.0285,0.0689,0.0285,0.0000,-0.0571,0.0136,0.1124,-0.7684,334.7303,-32.4440,334.9055,-32.5288
234.5399,0.0281,0.0196,0.0281,0.0000,-0.0562,0.0135,0.0623,0.6850,334.5398,-32.3830,334.7154,-32.4678
234.5599,0.0285,-0.0275,0.0285,0.0000,-0.0570,0.0135,0.0160,-0.9636,334.3492,-32.3224,334.5248,-32.4073
234.5799,0.0287,-0.0434,0.0287,0.0000,-0.0575,0.0134,0.0007,-1.5191,334.1585,-32.2621,334.3368,-32.3483
234.5999,0.0303,-0.0899,0.0303,0.0000,-0.0606,0.0133,-0.0426,-3.1457,333.9675,-32.2027,334.1565,-32.2923
234.6199,0.0320,-0.1180,0.0320,0.0000,-0.0640,0.0133,-0.0672,-4.1299,333.7762,-32.1443,333.9486,-32.2285
234.6399,0.0349,-0.1663,0.0349,0.0000,-0.0698,0.0132,-0.1098,-5.8218,333.5844,-32.0876,333.7512,-32.1687
234.6599,0.0303,0.0320,0.0303,0.0000,-0.0606,0.0131,0.0794,-2.8218,333.3925,-32.0316,333.5809,-32.1177
234.6799,0.0298,0.0022,0.0298,0.0000,-0.0596,0.0131,0.0487,0.0770,333.2005,-31.9755,333.3907,-32.0613
234.6999,0.0289,0.0011,0.0289,0.0000,-0.0579,0.0130,0.0459,0.0381,333.0085,-31.9195,333.1914,-32.0030
234.7199,0.0297,-0.0483,0.0297,0.0000,-0.0595,0.0130,-0.0018,-1.6921,332.8164,-31.8639,332.9967,-31.9468
234.7399,0.0303,-0.0633,0.0303,0.0000,-0.0605,0.0129,-0.0157,-2.2160,332.6241,-31.8089,332.8086,-31.8932
234.7599,0.0318,-0.1007,0.0318,0.0000,-0.0636,0.0128,-0.0499,-3.5238,332.4315,-31.7549,332.6093,-31.8371
234.7799,0.0320,-0.0795,0.0320,0.0000,-0.0641,0.0128,-0.0282,-2.7830,332.2387,-31.7016,332.4279,-31.7867
234.7999,0.0361,-0.1865,0.0361,0.0000,-0.0723,0.0127,-0.1269,-5.7830,332.0455,-31.6498,332.2143,-31.7282
234.8199,0.0348,-0.0769,0.0348,0.0000,-0.0697,0.0126,-0.0199,-2.7830,331.8521,-31.5989,332.0514,-31.6842
234.8399,0.0311,0.0449,0.0311,0.0000,-0.0622,0.0126,0.0946,0.2170,331.6588,-31.5478,331.8435,-31.6288
234.8599,0.0318,-0.0272,0.0318,0.0000,-0.0635,0.0125,0.0238,-0.9533,331.4653,-31.4971,331.6459,-31.5769
234.8799,0.0365,-0.1808,0.0365,0.0000,-0.0729,0.0124,-0.1203,-3.9533,331.2716,-31.4473,331.4405,-31.5238
234.8999,0.0353,-0.0788,0.0353,0.0000,-0.0706,0.0124,-0.0206,-2.7584,331.0777,-31.3984,331.2499,-31.4752
234.9199,0.0342,-0.0349,0.0342,0.0000,-0.0684,0.0123,0.0212,-1.2222,330.8837,-31.3497,331.0598,-31.4275
234.9399,0.0338,-0.0346,0.0338,0.0000,-0.0676,0.0122,0.0208,-1.2106,330.6896,-31.3014,330.8816,-31.3835
234.9599,0.0353,-0.0905,0.0353,0.0000,-0.0706,0.0122,-0.0321,-3.1691,330.4953,-31.2540,330.6895,-31.3367
234.9799,0.0365,-0.1102,0.0365,0.0000,-0.0731,0.0121,-0.0492,-3.8562,330.3007,-31.2076,330.4776,-31.2860
234.9999,0.0361,-0.0690,0.0361,0.0000,-0.0721,0.0120,-0.0088,-2.4136,330.1060,-31.1619,330.2881,-31.2414
235.0199,0.0372,-0.0980,0.0372,0.0000,-0.0744,0.0119,-0.0355,-3.4290,329.9111,-31.1171,330.0905,-31.1957
235.0399,0.0375,-0.0857,0.0375,0.0000,-0.0749,0.0119,-0.0227,-3.0008,329.7160,-31.0731,329.9094,-31.1545
235.0599,0.0375,-0.0730,0.0375,0.0000,-0.0749,0.0118,-0.0099,-2.5537,329.5208,-31.0298,329.7119,-31.1103
235.0799,0.0389,-0.1122,0.0389,0.0000,-0.0779,0.0117,-0.0460,-3.9263,329.3253,-30.9876,329.5224,-31.0687
235.0999,0.0384,-0.0705,0.0384,0.0000,-0.0768,0.0116,-0.0053,-2.4674,329.1296,-30.9460,329.3105,-31.0230
235.1199,0.0381,-0.0593,0.0381,0.0000,-0.0763,0.0116,0.0054,-2.0741,328.9338,-30.9051,329.1183,-30.9824
235.1399,0.0409,-0.1457,0.0409,0.0000,-0.0818,0.0115,-0.0753,-5.0741,328.7378,-30.8655,328.9401,-30.9455
235.1599,0.0410,-0.1060,0.0410,0.0000,-0.0820,0.0114,-0.0355,-3.7114,328.5415,-30.8269,328.7155,-30.8998
235.1799,0.0389,-0.0225,0.0389,0.0000,-0.0777,0.0113,0.0439,-0.7859,328.3452,-30.7886,328.5247,-30.8619
235.1999,0.0377,-0.0137,0.0377,0.0000,-0.0755,0.0112,0.0505,-0.4805,328.1489,-30.7503,328.3366,-30.8253
235.2199,0.0386,-0.0670,0.0386,0.0000,-0.0772,0.0112,-0.0010,-2.3446,327.9525,-30.7128,328.1390,-30.7876
235.2399,0.0396,-0.0958,0.0396,0.0000,-0.0791,0.0111,-0.0278,-3.3546,327.7559,-30.6761,327.9489,-30.7521
235.2599,0.0403,-0.1015,0.0403,0.0000,-0.0805,0.0110,-0.0320,-3.5539,327.5591,-30.6404,327.7513,-30.7161
235.2799,0.0412,-0.1124,0.0412,0.0000,-0.0824,0.0109,-0.0409,-3.9340,327.3621,-30.6058,327.5462,-30.6796
235.2999,0.0412,-0.0880,0.0412,0.0000,-0.0823,0.0108,-0.0165,-3.0804,327.1649,-30.5721,327.3563,-30.6466
235.3199,0.0437,-0.1558,0.0437,0.0000,-0.0875,0.0108,-0.0791,-5.4541,326.9676,-30.5398,327.1443,-30.6107
235.3399,0.0412,-0.0371,0.0412,0.0000,-0.0825,0.0107,0.0347,-2.4541,326.7701,-30.5083,326.9574,-30.5798
235.3599,0.0439,-0.1365,0.0439,0.0000,-0.0878,0.0106,-0.0592,-4.7773,326.5724,-30.4780,326.7478,-30.5461
235.3799,0.0432,-0.0810,0.0432,0.0000,-0.0863,0.0105,-0.0052,-2.8366,326.3746,-30.4486,326.5506,-30.5153
235.3999,0.0401,0.0124,0.0401,0.0000,-0.0803,0.0104,0.0823,0.1634,326.1768,-30.4191,326.3757,-30.4887
235.4199,0.0404,-0.0408,0.0404,0.0000,-0.0807,0.0103,0.0296,-1.4286,325.9789,-30.3900,326.1781,-30.4594
235.4399,0.0417,-0.0975,0.0417,0.0000,-0.0834,0.0103,-0.0243,-3.4115,325.7809,-30.3618,325.9833,-30.4314
235.4599,0.0424,-0.1057,0.0424,0.0000,-0.0849,0.0102,-0.0309,-3.6980,325.5827,-30.3347,325.7859,-30.4039
235.4799,0.0418,-0.0703,0.0418,0.0000,-0.0837,0.0101,0.0033,-2.4608,325.3845,-30.3082,325.5721,-30.3751
235.4999,0.0438,-0.1310,0.0438,0.0000,-0.0876,0.0100,-0.0534,-4.5857,325.1861,-30.2830,325.3909,-30.3515
235.5199,0.0424,-0.0607,0.0424,0.0000,-0.0849,0.0099,0.0143,-2.1238,324.9876,-30.2584,325.1790,-30.3249
235.5399,0.0431,-0.0870,0.0431,0.0000,-0.0861,0.0098,-0.0108,-3.0460,324.7890,-30.2347,324.9793,-30.3007
235.5599,0.0447,-0.1301,0.0447,0.0000,-0.0894,0.0097,-0.0505,-4.5535,324.5903,-30.2122,324.7739,-30.2767
235.5799,0.0437,-0.0738,0.0437,0.0000,-0.0875,0.0097,0.0040,-2.5842,324.3915,-30.1904,324.5834,-30.2554
235.5999,0.0445,-0.0991,0.0445,0.0000,-0.0890,0.0096,-0.0196,-3.4679,324.1926,-30.1696,324.3932,-30.2349
235.6199,0.0450,-0.1023,0.0450,0.0000,-0.0900,0.0095,-0.0218,-3.5809,323.9936,-30.1498,324.1956,-30.2145
235.6399,0.0469,-0.1478,0.0469,0.0000,-0.0938,0.0094,-0.0634,-5.1746,323.7944,-30.1314,323.9747,-30.1928
235.6599,0.0464,-0.0985,0.0464,0.0000,-0.0929,0.0093,-0.0149,-3.4477,323.5952,-30.1140,323.8044,-30.1768
235.6799,0.0465,-0.0934,0.0465,0.0000,-0.0931,0.0092,-0.0095,-3.2700,323.3958,-30.0975,323.6068,-30.1591
235.6999,0.0447,-0.0334,0.0447,0.0000,-0.0894,0.0091,0.0469,-1.1696,323.1965,-30.0814,323.3821,-30.1401
235.7199,0.0438,-0.0326,0.0438,0.0000,-0.0876,0.0090,0.0460,-1.1418,322.9971,-30.0655,323.1914,-30.1249
235.7399,0.0447,-0.0858,0.0447,0.0000,-0.0895,0.0089,-0.0053,-3.0023,322.7977,-30.0505,322.9966,-30.1102
235.7599,0.0477,-0.1715,0.0477,0.0000,-0.0954,0.0088,-0.0850,-6.0023,322.5981,-30.0372,322.8086,-30.0969
235.7799,0.0473,-0.1138,0.0473,0.0000,-0.0947,0.0087,-0.0279,-3.9841,322.3985,-30.0249,322.5833,-30.0821
235.7999,0.0459,-0.0565,0.0459,0.0000,-0.0919,0.0086,0.0267,-1.9790,322.1989,-30.0133,322.3932,-30.0706
235.8199,0.0463,-0.0827,0.0463,0.0000,-0.0926,0.0086,0.0013,-2.8960,321.9992,-30.0024,322.1956,-30.0595
235.8399,0.0486,-0.1503,0.0486,0.0000,-0.0971,0.0085,-0.0616,-5.2604,321.7994,-29.9930,322.0094,-30.0499
235.8599,0.0475,-0.0850,0.0475,0.0000,-0.0950,0.0084,0.0017,-2.9735,321.5996,-29.9845,321.8044,-30.0403
235.8799,0.0481,-0.1022,0.0481,0.0000,-0.0961,0.0083,-0.0143,-3.5758,321.3997,-29.9769,321.6068,-30.0320
235.8999,0.0500,-0.1527,0.0500,0.0000,-0.1000,0.0082,-0.0609,-5.3459,321.1998,-29.9708,321.3821,-30.0237
235.9199,0.0476,-0.0457,0.0476,0.0000,-0.0951,0.0081,0.0414,-2.3459,320.9999,-29.9654,321.1913,-30.0176
235.9399,0.0470,-0.0537,0.0470,0.0000,-0.0941,0.0080,0.0325,-1.8782,320.7999,-29.9605,320.9968,-30.0124
235.9599,0.0484,-0.1118,0.0484,0.0000,-0.0968,0.0079,-0.0229,-3.9136,320.6000,-29.9567,320.8085,-30.0081
235.9799,0.0504,-0.1584,0.0504,0.0000,-0.1007,0.0078,-0.0654,-5.5434,320.4000,-29.9545,320.5833,-30.0042
235.9999,0.0479,-0.0497,0.0479,0.0000,-0.0959,0.0077,0.0385,-2.5434,320.2000,-29.9530,320.3931,-30.0019
236.0199,0.0477,-0.0645,0.0477,0.0000,-0.0954,0.0076,0.0233,-2.2579,320.0000,-29.9521,320.1957,-30.0005
236.0399,0.0488,-0.1112,0.0488,0.0000,-0.0977,0.0075,-0.0210,-3.8918,319.8000,-29.9522,320.0093,-30.0000
236.0599,0.0484,-0.0872,0.0484,0.0000,-0.0969,0.0074,0.0023,-3.0508,319.6000,-29.9533,319.8043,-30.0005
236.0799,0.0491,-0.1087,0.0491,0.0000,-0.0982,0.0073,-0.0178,-3.8062,319.4000,-29.9554,319.6067,-30.0019
236.0999,0.0516,-0.1745,0.0516,0.0000,-0.1033,0.0072,-0.0784,-6.1077,319.2000,-29.9592,319.4167,-30.0042
236.1199,0.0497,-0.0731,0.0497,0.0000,-0.0994,0.0071,0.0192,-3.1077,319.0001,-29.9639,319.1913,-30.0081
236.1399,0.0486,-0.0495,0.0486,0.0000,-0.0971,0.0070,0.0406,-1.7327,318.8002,-29.9691,319.0032,-30.0123
236.1599,0.0493,-0.0933,0.0493,0.0000,-0.0985,0.0069,-0.0017,-3.2645,318.6003,-29.9752,318.8085,-30.0176
236.1799,0.0516,-0.1638,0.0516,0.0000,-0.1033,0.0068,-0.0673,-5.7316,318.4004,-29.9828,318.6179,-30.0237
236.1999,0.0496,-0.0665,0.0496,0.0000,-0.0993,0.0067,0.0261,-2.7316,318.2006,-29.9913,318.3932,-30.0320
236.2199,0.0492,-0.0684,0.0492,0.0000,-0.0984,0.0066,0.0234,-2.3935,318.0008,-30.0004,318.1956,-30.0403
236.2399,0.0505,-0.1196,0.0505,0.0000,-0.1010,0.0065,-0.0251,-4.1865,317.8010,-30.0107,317.9906,-30.0499
236.2599,0.0489,-0.0579,0.0489,0.0000,-0.0978,0.0064,0.0335,-2.0265,317.6013,-30.0216,317.8044,-30.0595
236.2799,0.0493,-0.0897,0.0493,0.0000,-0.0986,0.0063,0.0027,-3.1385,317.4017,-30.0333,317.6068,-30.0706
236.2999,0.0511,-0.1456,0.0511,0.0000,-0.1023,0.0062,-0.0495,-5.0960,317.2021,-30.0464,317.4169,-30.0821
236.3199,0.0516,-0.1309,0.0516,0.0000,-0.1031,0.0061,-0.0338,-4.5807,317.0026,-30.0609,317.1916,-30.0969
236.3399,0.0494,-0.0464,0.0494,0.0000,-0.0987,0.0060,0.0464,-1.6232,316.8032,-30.0758,317.0034,-30.1102
236.3599,0.0494,-0.0738,0.0494,0.0000,-0.0988,0.0059,0.0192,-2.5815,316.6038,-30.0914,316.8084,-30.1249
236.3799,0.0507,-0.1236,0.0507,0.0000,-0.1014,0.0058,-0.0279,-4.3244,316.4045,-30.1082,316.6179,-30.1401
236.3999,0.0522,-0.1513,0.0522,0.0000,-0.1043,0.0057,-0.0527,-5.2961,316.2054,-30.1265,316.3932,-30.1591
236.4199,0.0513,-0.0951,0.0513,0.0000,-0.1025,0.0056,0.0018,-3.3292,316.0063,-30.1457,316.1956,-30.1768
236.4399,0.0508,-0.0818,0.0508,0.0000,-0.1016,0.0055,0.0143,-2.8640,315.8073,-30.1657,316.0253,-30.1928
236.4599,0.0489,-0.0337,0.0489,0.0000,-0.0978,0.0054,0.0587,-1.1794,315.6083,-30.1860,315.8044,-30.2145
236.4799,0.0489,-0.0664,0.0489,0.0000,-0.0978,0.0053,0.0261,-2.3230,315.4094,-30.2070,315.6068,-30.2349
236.4999,0.0489,-0.0813,0.0489,0.0000,-0.0978,0.0052,0.0113,-2.8467,315.2106,-30.2288,315.4168,-30.2554
236.5199,0.0504,-0.1317,0.0504,0.0000,-0.1008,0.0051,-0.0361,-4.6106,315.0119,-30.2518,315.2261,-30.2767
236.5399,0.0496,-0.0885,0.0496,0.0000,-0.0992,0.0050,0.0057,-3.0984,314.8134,-30.2758,315.0207,-30.3007
236.5599,0.0497,-0.0946,0.0497,0.0000,-0.0994,0.0049,-0.0001,-3.3111,314.6149,-30.3006,314.8212,-30.3248
236.5799,0.0512,-0.1401,0.0512,0.0000,-0.1024,0.0048,-0.0425,-4.9039,314.4166,-30.3268,314.6093,-30.3515
236.5999,0.0496,-0.0691,0.0496,0.0000,-0.0993,0.0047,0.0255,-2.4170,314.2184,-30.3537,314.4279,-30.3751
236.6199,0.0504,-0.1072,0.0504,0.0000,-0.1009,0.0046,-0.0110,-3.7533,314.0204,-30.3816,314.2142,-30.4039
236.6399,0.0500,-0.0890,0.0500,0.0000,-0.1000,0.0045,0.0066,-3.1139,313.8225,-30.4103,314.0167,-30.4314
236.6599,0.0491,-0.0662,0.0491,0.0000,-0.0983,0.0044,0.0277,-2.3160,313.6247,-30.4397,313.8217,-30.4595
236.6799,0.0490,-0.0770,0.0490,0.0000,-0.0979,0.0043,0.0167,-2.6947,313.4270,-30.4699,313.6241,-30.4887
236.6999,0.0506,-0.1362,0.0506,0.0000,-0.1013,0.0042,-0.0391,-4.7675,313.2295,-30.5014,313.4494,-30.5153
236.7199,0.0501,-0.0992,0.0501,0.0000,-0.1003,0.0041,-0.0030,-3.4717,313.0321,-30.5338,313.2520,-30.5462
236.7399,0.0472,-0.0101,0.0472,0.0000,-0.0944,0.0040,0.0803,-0.4717,312.8348,-30.5664,313.0426,-30.5798
236.7599,0.0490,-0.1099,0.0490,0.0000,-0.0981,0.0039,-0.0157,-3.4717,312.6376,-30.5999,312.8558,-30.6106
236.7799,0.0471,-0.0433,0.0471,0.0000,-0.0942,0.0038,0.0471,-1.5148,312.4405,-30.6338,312.6439,-30.6465
236.7999,0.0477,-0.0867,0.0477,0.0000,-0.0953,0.0037,0.0049,-3.0351,312.2435,-30.6686,312.4538,-30.6796
236.8199,0.0478,-0.0931,0.0478,0.0000,-0.0956,0.0036,-0.0012,-3.2597,312.0467,-30.7043,312.2489,-30.7161
236.8399,0.0481,-0.1012,0.0481,0.0000,-0.0962,0.0035,-0.0086,-3.5417,311.8501,-30.7409,312.0513,-30.7521
236.8599,0.0480,-0.0932,0.0480,0.0000,-0.0959,0.0034,-0.0007,-3.2637,311.6537,-30.7784,311.8610,-30.7876
236.8799,0.0479,-0.0896,0.0479,0.0000,-0.0957,0.0033,0.0028,-3.1348,311.4574,-30.8168,311.6634,-30.8253
236.8999,0.0485,-0.1111,0.0485,0.0000,-0.0970,0.0032,-0.0173,-3.8883,311.2613,-30.8563,311.4753,-30.8619
236.9199,0.0494,-0.1267,0.0494,0.0000,-0.0987,0.0031,-0.0312,-4.4362,311.0655,-30.8970,311.2845,-30.8998
236.9399,0.0488,-0.0935,0.0488,0.0000,-0.0977,0.0030,0.0011,-3.2733,310.8698,-30.9386,311.0599,-30.9455
236.9599,0.0455,0.0065,0.0455,0.0000,-0.0909,0.0029,0.0944,-0.2733,310.6742,-30.9802,310.8817,-30.9824
236.9799,0.0455,-0.0466,0.0455,0.0000,-0.0909,0.0028,0.0415,-1.6308,310.4787,-31.0223,310.6895,-31.0230
236.9999,0.0464,-0.0981,0.0464,0.0000,-0.0928,0.0028,-0.0080,-3.4336,310.2834,-31.0653,310.4776,-31.0687
237.0199,0.0452,-0.0585,0.0452,0.0000,-0.0905,0.0027,0.0293,-2.0482,310.0882,-31.1089,310.2880,-31.1103
237.0399,0.0456,-0.0862,0.0456,0.0000,-0.0912,0.0026,0.0024,-3.0183,309.8932,-31.1534,310.0906,-31.1545
237.0599,0.0454,-0.0803,0.0454,0.0000,-0.0907,0.0025,0.0080,-2.8101,309.6984,-31.1985,309.9095,-31.1957
237.0799,0.0450,-0.0725,0.0450,0.0000,-0.0899,0.0024,0.0150,-2.5368,309.5037,-31.2444,309.7119,-31.2414
