Time(s),LateralError_e(m),ControlOutput_u,VehiclePos_y(m),ReferencePos_r(m),P_Term,I_Term,D_Term,SteeringAngle_delta(deg),VehicleGlobalX(m),VehicleGlobalZ(m),TargetGlobalX(m),TargetGlobalZ(m)
233.1999,0.0217,0.0827,0.0217,0.0000,-0.0433,0.0171,0.1089,0.2091,346.8848,-37.5547,347.0599,-37.6669
233.2199,0.0214,0.0297,0.0214,0.0000,-0.0428,0.0171,0.0554,1.0394,346.7067,-37.4637,346.8816,-37.5759
233.2399,0.0226,-0.0375,0.0226,0.0000,-0.0453,0.0170,-0.0093,-1.3119,346.5284,-37.3729,346.6893,-37.4782
233.2599,0.0223,-0.0215,0.0223,0.0000,-0.0445,0.0170,0.0060,-0.7528,346.3501,-37.2824,346.5247,-37.3949
233.2799,0.0223,-0.0252,0.0223,0.0000,-0.0445,0.0170,0.0024,-0.8807,346.1717,-37.1921,346.3367,-37.3002
233.2999,0.0234,-0.0598,0.0234,0.0000,-0.0468,0.0169,-0.0299,-2.0915,345.9930,-37.1023,346.1564,-37.2099
233.3199,0.0249,-0.0876,0.0249,0.0000,-0.0497,0.0169,-0.0547,-3.0666,345.8138,-37.0133,345.9747,-37.1192
233.3399,0.0234,-0.0124,0.0234,0.0000,-0.0467,0.0168,0.0175,-0.4347,345.6347,-36.9244,345.8045,-37.0347
233.3599,0.0237,-0.0320,0.0237,0.0000,-0.0474,0.0168,-0.0013,-1.1189,345.4554,-36.8358,345.6243,-36.9457
233.3799,0.0247,-0.0601,0.0247,0.0000,-0.0493,0.0167,-0.0275,-2.1034,345.2759,-36.7477,345.4494,-36.8597
233.3999,0.0297,-0.1961,0.0297,0.0000,-0.0595,0.0167,-0.1533,-5.1034,345.0957,-36.6608,345.2499,-36.7621
233.4199,0.0257,0.0094,0.0257,0.0000,-0.0514,0.0166,0.0442,-2.1034,344.9153,-36.5745,345.0946,-36.6865
233.4399,0.0247,0.0157,0.0247,0.0000,-0.0493,0.0166,0.0484,0.5478,344.7349,-36.4881,344.9144,-36.5992
233.4599,0.0247,-0.0134,0.0247,0.0000,-0.0495,0.0165,0.0196,-0.4697,344.5545,-36.4018,344.7154,-36.5033
233.4799,0.0273,-0.1012,0.0273,0.0000,-0.0546,0.0164,-0.0631,-3.4697,344.3737,-36.3164,344.5596,-36.4287
233.4999,0.0242,0.0279,0.0242,0.0000,-0.0483,0.0164,0.0598,-0.4697,344.1928,-36.2311,344.3542,-36.3307
233.5199,0.0218,0.0666,0.0218,0.0000,-0.0435,0.0164,0.0937,2.3303,344.0122,-36.1452,344.1783,-36.2473
233.5399,0.0255,-0.0975,0.0255,0.0000,-0.0510,0.0163,-0.0628,-0.6697,343.8315,-36.0594,343.9906,-36.1588
233.5599,0.0224,0.0306,0.0224,0.0000,-0.0448,0.0163,0.0591,1.0715,343.6509,-35.9734,343.8218,-36.0796
233.5799,0.0246,-0.0698,0.0246,0.0000,-0.0493,0.0162,-0.0368,-1.9285,343.4701,-35.8879,343.6460,-35.9976
